health status index                                                  uuid                   pri rep docs.count docs.deleted store.size pri.store.size
green  open   wazuh-states-inventory-hotfixes-wazuh-server           usRXlUB9SmCT3B99Xg551A   1   0          0            0       208b           208b
green  open   .opendistro-reports-definitions                        Z3iu0-haT7-QgBd2wqecww   1   0          0            0       208b           208b
green  open   wazuh-states-inventory-ports-wazuh-server              FUsYF4klRXmngWIK8mPL8A   1   0          0            0      9.8kb          9.8kb
green  open   .opendistro_security                                   gW0IcTnSRcKB_hO5p3UZEg   1   0         10            1     49.5kb         49.5kb
green  open   .opendistro-reports-instances                          OTVJzUX2S-yU-q88z0J8CA   1   0          0            0       208b           208b
green  open   .kibana_1                                              0_O0vrUGQgGiNh3ddnPh4g   1   0          6            0       21kb           21kb
green  open   wazuh-states-inventory-system-wazuh-server             8Vf1xLUmRg2Ky7Ywh9fDBg   1   0          0            0       208b           208b
green  open   wazuh-states-inventory-services-wazuh-server           wWVrAnQxSPOn9rv_E7DLug   1   0          0            0      3.7kb          3.7kb
green  open   wazuh-states-inventory-packages-wazuh-server           iSqyCtnRTZ22hMxyD0EzpA   1   0          0            0       208b           208b
green  open   wazuh-monitoring-2026.19w                              1c_3EPpTSlm9ajbiJJj0jQ   1   0          0            0       208b           208b
green  open   .plugins-ml-config                                     DKa5Fd1oQGujhE_mnNW-TA   1   0          1            0        4kb            4kb
green  open   .opensearch-observability                              tK35aL1fS5a_ElBYXjsYfw   1   0          0            0       208b           208b
green  open   wazuh-states-inventory-hardware-wazuh-server           mPZ32bckRqG1vqE6N4hEKg   1   0          0            0       208b           208b
green  open   wazuh-alerts-4.x-2026.05.07                            guRsV_cDS722lQ2M_CRpHw   3   0        728            0      1.3mb          1.3mb
green  open   wazuh-statistics-2026.19w                              UfZTNhS4T_6BC3_zL64Inw   1   0        132            0    450.3kb        450.3kb
green  open   wazuh-states-inventory-interfaces-wazuh-server         JG96Tof1TeaoU6n8lgr8pw   1   0          0            0       228b           228b
green  open   wazuh-states-vulnerabilities-wazuh-server              WIhazddsT9meibGQvqzcQA   1   0          0            0       208b           208b
green  open   wazuh-states-inventory-networks-wazuh-server           ehaoOJynTW2JelcRWYSowA   1   0          0            0       228b           228b
green  open   wazuh-states-inventory-groups-wazuh-server             H9xbIss1SaOH7I_4idSyrg   1   0          0            0       208b           208b
green  open   wazuh-states-inventory-browser-extensions-wazuh-server dtSX6AGvTPWANe0z_7Qe_w   1   0          0            0       208b           208b
green  open   wazuh-states-inventory-users-wazuh-server              Vz66xOsvTy-wq7xihVduoA   1   0          0            0       208b           208b
green  open   wazuh-states-inventory-processes-wazuh-server          R9MJA_ifR-SVB4qSVzpycg   1   0          0            0      7.7kb          7.7kb
green  open   wazuh-states-inventory-protocols-wazuh-server          PouFDsJHR96Vp1rvwk7Khg   1   0          0            0       228b           228b
